fecha,departamento,tipo,inmueble,precio,tamaño,dormitorios,titulo,descripcion
2024-03-14,Cochabamba, Venta, Departamento,783,,,Vendo Departamento Estrenar 2,"VENDO departamento estrenar 2 suites, garaje, piscina, sauna. Heroínas y Aurelio Melean. 110.000. $us. 78350336."
2024-03-14,Cochabamba, Venta, Departamento,783,161,2,Vendo Departamento 161 M2,"VENDO departamento 161 m2 1 suite, 2 dormitorios, parqueo. América y Melchor Pérez. 115.000. $us. 78350336."
2024-03-14,Cochabamba, Venta, Departamento,783,179,2,Vendo Departamento 179 M2,"VENDO departamento 179 m2, 1 suite, 2 dormitorios, 2 parqueos, Baulera. Melchor Urquidi, pasos boulevard. 190.000. $us. 78350336."
2024-03-14,Cochabamba, Venta, Departamento,75000,122,1,Vendo Departamento Planta Baja,"VENDO Departamento planta baja con patio privado 122 m2, 1 suite, 1 dormitorio, garaje, baulera. Juan de la rosa y Beijing 75.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Local Comercial,136000,160,,Vendo Tienda U Oficina,"VENDO tienda u oficina 160 m2 plata baja salida a la calla, baño, cocineta sobre Av. Ayacucho casi Reza. 136.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Lote / Terreno,38000,280,,Km 8 Avenida Circunvalacion,"KM 8 AVENIDA CIRCUNVALACION Lote amurallado, 280 m2, servicios en puerta, $us. 38.000,-, 79788738"
2024-03-14,Cochabamba, Venta, Lote / Terreno,783,23,,Vendo Lote 307 23,"VENDO lote 307.23 m2, zona SEGIP 6 Km Blanco Galindo. 93.000. $us 78350336."
2024-03-14,Cochabamba, Alquiler, Casa / Chalet,500,,4,Las Cuadras Casa 3,"LAS CUADRAS Casa, 3 plantas, 4 dormitorios, dependencias, patio, jardín, garaje, Bs. 3.500, 79788738"
2024-03-14,Cochabamba, Alquiler, Departamento,243,,,Gimnasio Premier Garzonier Amoblado,"GIMNASIO PREMIER Garzonier amoblado, dormitorio, dependencias, Bs. 1.700, 79788738"
2024-03-14,Cochabamba, Alquiler, Departamento,286,,3,Alquilo Departamento 3 Dormitorios,"ALQUILO departamento 3 dormitorios, baño, garaje. Villavicencio y Tunupa. 2000 Bs incluye expensas. 78350336."
2024-03-14,Cochabamba, Anticrético, Casa / Chalet,60000,,4,Anticretico Casa 3 Plantas,"ANTICRETICO casa 3 plantas, 1 suite, 4 dormitorios, 5 baños, living comedor, cocina con comedor de diario. Precio 60.000 $us. zona Av. d’Orbigny 5 1/2 Km. 78350336."
2024-03-14,Cochabamba, Anticrético, Casa / Chalet,19000,,1,Anticretico Departamento 1 Suite,"ANTICRETICO departamento 1 suite, 1 dormitorio, garaje. Tiquipaya Cond. Punta Cana. 19.000 $us. 78350336."
2024-03-13,Cochabamba, Venta, Lote / Terreno,,616,,Vendo Dos Terrenos En,"VENDO Dos terrenos en urbanizaciòn exclusiva, Lomas de Aranjuez (616 m2). club house, vista incomparable. Ref. 72212874"
2024-03-13,Cochabamba, Alquiler, Departamento,,,3,Cerca A La Normal,"CERCA A LA NORMAL CATOLICA alquilo departamento, 3 dormitorios, 2 baños, cocina, living comedor. 70791140."
2024-03-13,Cochabamba, Alquiler, Departamento,900,200,2,Propietario Alquila Elegante Departamento,"PROPIETARIO Alquila elegante departamento panorámico amoblado 200 m2, sobre el parque Fidel Anze, suite con baño, vestidor y balcón, 2 dormitorios, 3 baños, living/comedor, escritorio, cocina /comedor, servicios. Dos parqueos. Piscina atemperada, parrillero, salón. $us 900 incluidos expensas y agua..."
2024-03-13,Cochabamba, Venta, Varios,25000,,,Por Viaje Vendo Espacio,"POR VIAJE vendo espacio en Cementerio Concordia, sector Cedros, de 3 niveles, 25.000 $us, charlable. Ref. 70783382."
2024-03-13,Cochabamba, Alquiler, Departamento,,,2,Urgente Alquilo Departamento De,"URGENTE alquilo departamento, de 2 dormitorios, dependencias, Ladislao Cabrera oeste. Cel. 71418073."
2024-03-13,Cochabamba, Alquiler, Departamento,129,,1,900 Bs A Una,900 BS. A una cuadra Ecológica Aldeas SOS garzonier independiente alquiler 1 dormitorio dependencias gas domiciliario garaje moto entrega inmediata 77994624 Whatsapp
2024-03-13,Cochabamba, Alquiler, Departamento,100,,3,1 700 Bs Departamento,1.700 BS. Departamento independiente alquiler 3 dormitorios 2 baños dependencias completas lavandería garaje moto zona Mercado Cruce Taquiña 77994624 Whatsapp
2024-03-13,Cochabamba, Alquiler, Local Comercial,129,,,Se Alquila Una Tienda,"SE ALQUILA una tienda comercial, sobre la Av. Tadeo Haenke, 900 Bs. y otra tienda, sobre la calle Atacama y Tadeo Haenke, 700 Bs. Nro de casa 2304. Cel. 79797285, fijo: 4067901."
2024-03-13,Cochabamba, Alquiler, Local Comercial,43,,,1 300 Bs Tienda,1.300 BS. Tienda comercial alquiler ideal todo negocio de comida cuenta con cocina y baño privado Av. Blanco Galindo K m2 entrega inmediata 77994624 Whatsapp
2024-03-13,Cochabamba, Anticrético, Casa / Chalet,000,,3,20 000 $us Blanco,20.000 $US. Blanco Galindo Km. 2 anticrético casita bastante independiente 3 dormitorios 2 baños dependencias gas domiciliario garaje lavandería disponibilidad inmediata libre gravámenes 77994624 whatsapp
2024-03-13,Cochabamba, Anticrético, Casa / Chalet,000,,1,12 000 $us Anticrético,12.000 $US. Anticrético casita totalmente independiente planta baja Av. Ecológica Bateón a pasos Cruce Taquiña 1 dormitorio dependencias Gas domiciliario garaje moto libre gravámenes 77994624 Whatsapp
2024-03-13,Cochabamba, Anticrético, Habitación,000,,,6 000 $us Anticrético,6.000 $US. Anticrético cuarto amplio con baño ideal pareja garaje para moto libre de gravámenes entrega inmediata zona Cruce Taquiña 77994624 Whatsapp
2024-03-27,Cochabamba, Venta, Lote / Terreno,,814,,Lote En Venta Superficie,"LOTE en venta, superficie 814 m2, barrio Minero Alalay, calle 31 octubre Nro 100, Info: 62015551, 76018788 (propietarios)."
2024-03-27,Cochabamba, Venta, Oficina,,59,,En Venta Oficina Amplia,"EN VENTA oficina amplia, en plena Av. Ayacucho 59 m2, con baño privado, Edificio María Antonieta. Ref. 60347129."
2024-03-27,Cochabamba, Alquiler, Casa / Chalet,,,4,Alquilo Casa Condominio Nuevo,"ALQUILO casa condominio nuevo, próximo peaje, Huayllani, 4 dormitorios, 2 garajes, dependencias, no mascotas. 71703501."
2024-03-27,Cochabamba, Anticrético, Departamento,,,2,Anticretico Zona Las Cuadras,"ANTICRETICO (Zona: Las Cuadras) departamento 2 dormitorios. Nicaragua S-777 Telf. 4257662, Cel. 64895372."
2024-03-27,Cochabamba, Anticrético, Departamento,12000,,2,Departamento Amplio 2 Dormitorios,"DEPARTAMENTO Amplio, 2 dormitorios, living comedor, cocineta, baño, garaje, $us 12.000 Avenida América Oeste Ref. 77421200"
2024-03-27,Cochabamba, Alquiler, Departamento,,,2,Urgente Alquilo Departamento De,"URGENTE alquilo departamento, de 2 dormitorios, dependencias, Ladislao Cabrera oeste. Cel. 71418073."
2024-03-27,Cochabamba, Venta, Lote / Terreno,60000,646,,Propeitario Vendo Terreno 646,"PROPEITARIO vendo terreno, 646 m2, El Paso - Quillacollo, documentación al día, 60.000 $us. Telf. 65511741."
2024-03-27,Cochabamba, Venta, Lote / Terreno,,600,,Dueño Vende Lote En,"DUEñO vende lote en Quillacollo, 200 - 300 - 600 m2. Fono: 67519571."
2024-03-27,Cochabamba, Venta, Casa / Chalet,,,4,Vendo Casas De 3,"VENDO casas de 3 y 4 dormitorios, en condominio, zona 4 Esquinas, Tiquipaya, casas, a estrenar, con financiamiento. 70767646, 69478128, 79788178."
2024-03-27,Cochabamba, Venta, Edificios,2800000,1010,,En Venta Edificio Comercial,"EN VENTA edificio comercial, en la Av. República de 1010 m2 de terreno y 3015 m2, de construcción, precio 2.800.000 $us, conversable. Ref. 67453135."
2024-03-27,Cochabamba, Alquiler, Departamento,,,2,Alquiler Departamento 2 Dormitorios,"ALQUILER Departamento 2 dormitorios, living comedor, cocina, baño. av. Simón López y Calampampa Ref. 76478115."
2024-03-27,Cochabamba, Anticrético, Departamento,,,3,Departamento Anticrético Económico 3er,"DEPARTAMENTO anticrético, económico, 3er piso, amplio, c/roperos empotrados, 3 dormitorios, zona central. Telf. 76966609."
2024-03-27,Cochabamba, Alquiler, Oficina,,42,,Alquiler De Oficinas Elegantes,"ALQUILER de oficinas elegantes, con baño privado y parqueo, precios rebajados, entre 23 a 42 m2, ideal para todo tipo de profesionales y consultoras. Ref. 25 de mayo 264 entre Sucre y Bolívar, edificio Franzur. Cel. 70798329."
2024-03-27,Cochabamba, Alquiler, Departamento,,,3,Alquilo Departamento De Lujo,"ALQUILO  Departamento de lujo 3 dormitorios, edificio Victoria Avenida América y Santa Cruz. Teléfono 71778857"
2024-03-26,Cochabamba, Venta, Casa / Chalet,115000,,4,Vendo Casa Una Planta,"VENDO Casa una planta, 4 dormitorios, dependencias, jardín, 115.000 $us. Vìctor Ustariz zona IMBA. 72796276, 79344274."
2024-03-26,Cochabamba, Alquiler, Departamento,,140,4,Alquilo Departamento 4 Dormitorios,"ALQUILO Departamento, 4 dormitorios, 140 mts2. servicios, parqueo, seguridad, piscina atemperada. Condominio Horizonte. 73793483, 72745742"
2024-03-26,Cochabamba, Alquiler, Local Comercial,,40,,Alquilo Tienda Independiente 40,"ALQUILO Tienda independiente 40 mts2. 1/2 cuadra plazuela Cala Cala, cocineta, baño, servicios. 73793483, 72745742"
2024-03-26,Cochabamba, Venta, Depósitos Galpones,,1080,,Galpón En Venta Trópico,"GALPóN  En venta, Trópico Entre Ríos, de 1080 m2 documentación al día y planos aprobados para cine. 76980753"
2024-03-26,Cochabamba, Venta, Casa / Chalet,,530,,Venta Hermosa Casa Inmediaciones,"VENTA hermosa casa, inmediaciones Cine Center, 530 m2, lote 380 m2 construcción. Cel./WP. 75900145, 77457710."
2024-03-26,Cochabamba, Venta, Departamento,82000,,2,Vendo Departamento Condominio Horizonte,"VENDO Departamento “Condominio Horizonte”, 3 1/2 dormitorios, 3 baños, planta baja $us. 82.000. Cel. 72239000"
2024-03-26,Cochabamba, Venta, Oficina,,150,,Venta Oficinas Torres Del,"VENTA oficinas, Torres del Prado, con 2 parqueos, 4 bauleras, 150 m2. Cel./WP. 75900145, 77457710."
2024-03-26,Cochabamba, Alquiler, Departamento,100,,2,1 700 Bs Temporal,1.700 BS. Temporal Cala Cala alquiler departamento 2 dormitorios dependencias completas garaje opcional entrega inmediata 77994624 Whatsapp
2024-03-26,Cochabamba, Alquiler, Departamento,100,,3,1 700 Bs Cruce,1.700 BS. Cruce Taquiña mercado alquiler amplio departamento bastante iluminado 3 dormitorios 1 en suite todas con cortinas 2 baños dependencias completas lavandería garaje opcional entrega inmediata 77994624 Whatsapp
2024-03-26,Cochabamba, Anticrético, Departamento,000,,2,12 000 $us Independiente,"12,000 $US, independiente anticrético departamento planta baja 2 dormitorios amplios dependencias gas domiciliario lavandería garaje libre de gravámenes entrega inmediata Circunvalación Oeste 77994624 Whatsapp"
2024-03-24,Cochabamba, Venta, Casa / Chalet,,,2,Vendo Hermosa Casa A,"VENDO hermosa casa a estrenar, 1 suite, 2 dormitorios y demás dependencias, zona Alto Aranjuez, cerca Templo Mormón. Telf. 72201235."
2024-03-24,Cochabamba, Venta, Casa / Chalet,170000,,,Casa A Estrenar Inmediaciones,"CASA A estrenar inmediaciones Hospital del Norte 2da Circunvalación, cuatro dormitorios, dos en suite y demás dependencias completas amplias $us 170.000. 72203818"
2024-03-24,Cochabamba, Alquiler, Departamento,,,2,Propietario Alquila Departamento Av,"PROPIETARIO alquila departamento, Av. Heroínas, 2 dormitorios, living, cocina, baño, garaje, 4500111, 60735555, abstenerse inmobiliarias."
2024-03-24,Cochabamba, Venta, Casa / Chalet,,,4,Hermosa Y Cómoda Casa,"HERMOSA Y cómoda casa se da en anticrético, cuenta en la planta baja con una sala comedor, estilo americano, baños, cocina, cajnerìa y alacena, cuarto de empleada en baño y ducha personal y parquesito. En la segunda planta se cuenta, 4 dormitorios, suites. Cada uno con su propio baño y sus..."
2024-03-24,Cochabamba, Venta, Departamento,,103,2,Dueña Vende Hermoso Departamento,"DUEñA vende hermoso departamento, 2 dormitorios, 2 baños, escritorio, lavandería, terraza, parqueo y baulera, edificio Plaza Real, Av. Beijing esquina Av. América 103 m2. Ref. 74306612."
2024-03-24,Cochabamba, Venta, Lote / Terreno,83000,250,,Lote Amurallado En Venta,"LOTE amurallado, en venta, 83.000 $us, 250 m2, precio no charlable, Av. Tadeo Haenke, papeles en orden, más información, whatsapp. +34688-271-199, 5914312520, abstenerse intermediarios."
2024-03-24,Cochabamba, Alquiler, Departamento,500,,,Departamento En Alquiler Heroínas,"DEPARTAMENTO en alquiler, Heroínas casi Oquendo Nro 0861, 3.500 Bs. charlable. Cel. 79348354."
2024-03-24,Cochabamba, Anticrético, Departamento,500,,3,17 500 $us Transfiero,"17.500 $US. Transfiero departamento en Tiquipaya, 3 cuartos, 2 baños, living comedor garaje 71728920, 71726824."
2024-03-24,Cochabamba, Venta, Casa / Chalet,200000,251,2,Vendo Hermosa Casa En,"VENDO hermosa casa en condominio, zona residencial, Queru Queru, de 3 plantas, 2 suites, 2 dormitorios, living, comedor, cocina, churrasquero, Sup. 251 m2, $us 200.000. Ref. 77900025."
2024-03-24,Cochabamba, Venta, Casa / Chalet,,,2,Oferta Inmejorable Casa A,"OFERTA INMEJORABLE casa a estrenar, zona final América oeste, cerca colegio Isaac Attie, de 2 dormitorios +  1 suite, + jardín amplio y demás dependencias. Telf. 72201235."
2024-03-24,Cochabamba, Venta, Casa / Chalet,128000,,,Urgente Vendo Casa 3,URGENTE Vendo casa 3 pisos 128.000 $us 75995715 calle La Paz Sacaba
2024-03-24,Cochabamba, Venta, Departamento,89000,121,2,Vendo Departamento 121 M2,"VENDO Departamento 121 m2, 1 suite, 2 dormitorios, garaje, baulera, cerca inmediaciones UNIFRANZ $us. 89.000. 72275563"
2024-03-24,Cochabamba, Venta, Departamento,140000,145,2,Vendo Departamento 145 M2,"VENDO Departamento 145 m2, 1 suite, 2 dormitorios, garaje, baulera. pasos Parque Fidel Anze. $us. 140.000. 72275563"
2024-03-24,Cochabamba, Venta, Departamento,,145,2,Parque Lincoln Edif Constantino,"PARQUE LINCOLN Edif. Constantino III, 145 m2, 1 suite, 2 dormitorios, piscina, próximo plaza Cala Cala. Ref. 79790024."
2024-03-24,Cochabamba, Venta, Departamento,,,2,Propietario Vende Departamento Av,"PROPIETARIO vende departamento, Av. Eudoro Galindo y parque Fidel Anze, 1 suite, 2 dormitorios, dependencias completas. 76413694."
2024-03-24,Cochabamba, Venta, Lote / Terreno,43000,209,,Dueño Vende Lote Amurallado,"DUEñO vende lote, amurallado, de 209 mts, esta ubicado Km 9 Colcapirhua, yendo hacia Tiquipaya, segundo semáforo, a media cuadra de la Av. Reducto, tiene un ingreso de un pasaje de 6 mts. tiene agua y luz, 43.000 $us, papeles en orden, se acepta financiamiento Bancario. Ref. 71440787."
2024-03-24,Cochabamba, Venta, Lote / Terreno,,420,,Vendo Lote 420 M2,"VENDO lote 420 m2, Temporal, Cala Cala, calle London entre Av. Robles y W. Keaspeire, vista a la ciudad. Telf. 68508528."
2024-03-24,Cochabamba, Venta, Lote / Terreno,,238,,Hermoso Lote En Venta,"HERMOSO lote en venta, inmediaciones Templo Mormón, de 238 m2, amurallado y con todos los servicios. Telf. 72201235."
2024-03-24,Cochabamba, Venta, Lote / Terreno,,610,,En Venta Terreno De,"EN VENTA terreno de 610 mts. Av. Pedro Sarmiento y La Plata. Cel. 72720922, fijo 4297135."
2024-03-24,Cochabamba, Venta, Lote / Terreno,,400,,Venta De Lotes De,"VENTA de lotes, de 250 a 400 m2, en urbanización, zona Colcapirhua, económicos, con folio real, ver planos en Facebook, whatsapp. 67498340."
2024-03-24,Cochabamba, Venta, Lote / Terreno,65000,,,Lote Barato 65 000,LOTE Barato 65.000 $us amurallado frente a terminal Sacaba 75995715.
2024-03-24,Cochabamba, Alquiler, Oficina,214,40,,Propietario 40 M2 Dos,PROPIETARIO 40 m2 dos ambientes Edificio Centrum segundo piso Heroínas Esq. San Martin baño privado 1.500 bs facturado incluye expensas y energía eléctrica. Ref. 71723994
2024-03-24,Cochabamba, Venta, Lote / Terreno,,190,,4 Lotes Venta 190,"4 LOTES Venta 190 m2. 36.000 (ofertable), cerca laguna Coña Coña. 73783311 (resguarde su dinero)"
2024-03-24,Cochabamba, Venta, Lote / Terreno,37000,3150,,Terreno Vendo 3150 M2,"TERRENO vendo, 3150 m2, en la carretera al Valle Alto, Km 35, a 6 cuadras al norte de la carretera , riego, folio real, 37.000 $us. Telf. 71749083."
2024-03-24,Cochabamba, Alquiler, Casa / Chalet,0,,,Casa Independiente Ecol Gica,"CASA Independiente Ecològica, tres dormitorios, demás dependencias, baño ecològico, amplio jardìn y garaje. Se puede usar el terreno para agricultura orgànica. 3000 Bs. negociable para familia. Colcapirhua 591 67851682 Av. Reducto."
2024-03-24,Cochabamba, Alquiler, Oficina,160,72,,Galeria Los Libertadores Av,"GALERIA ""LOS LIBERTADORES"" Av. Heroínas esquina Falsury, alfombras, porcelanato, excelente iluminación, baño privado, 72 m2, 160 $us. Ref. 68515555 (fotos, whatsapp)."
2024-03-24,Cochabamba, Alquiler, Habitación,57,,,Habitacion Alquiler 400 Bs,"HABITACION Alquiler 400 Bs. cerca UMSS parque maestro # 0577, 72750918."
2024-03-24,Cochabamba, Anticrético, Casa / Chalet,,,3,Casa En Anticrético Zona,"CASA En anticrético zona Norte Av. Linde. Ecológica 3 cuartos, 4 cocina, comedor, baño y lavandería privada. Sin garaje, luz, agua # 76417323"
2024-03-24,Cochabamba, Anticrético, Departamento,15000,,3,Zona Cala Cala Anticrético,"ZONA CALA CALA anticrético, en construcción antigua, 15.000 $us, 3 dormitorios, cocina, terraza, baño. 75967857."
2024-03-24,Cochabamba, Anticrético, Departamento,,215,4,Propietario Ofrece Hermoso Penthouse,"PROPIETARIO Ofrece hermoso penthouse en anticrético, ubicación espectacular, parque del arquitecto. 4 dormitorios, uno en suite, amplios espacios, todas las dependencias, acabado de primera, 215 mts. piscina, churrasquero, club house. registrable. Tel. 79678740"
2024-03-24,Cochabamba, Venta, Departamento,55000,,3,Preventa 2 Departamentos 3,"PREVENTA 2 departamentos, 3 dormitorios, 2 baños, urbanización LAB, $us 55.000. Cel. 70396537."
2024-03-24,Cochabamba, Venta, Casa / Chalet,,530,,Venta Hermosa Casa Inmediaciones,"VENTA hermosa casa, inmediaciones Cine Center, 530 m2, lote 380 m2 construcción, Cel./WP 75900145, 77457710."
2024-03-24,Cochabamba, Venta, Departamento,000,,3,Vendo Departamento En Condominio,"VENDO Departamento en condominio horizonte, 3 dormitorios y dependencias, 3 baños en planta baja. Ref. 72239000 $us. 82.000"
2024-03-24,Cochabamba, Venta, Lote / Terreno,35,846,,Oferta 35 $us M2,OFERTA 35 $us/ m2 terreno agrícola 846 m2 tiene agua potable potrero Quillacollo Cel. 72201649.
